1.0018,1.0169,1.0105,1.0074,1.0212,1.0064,1.0061,1.0028,1.0142,1.0069,1.0059,1.0098,1.0072,1.0038,1.0132,1.003,1.0099,1.0073,1.006,1.0109,1.0048,1.004,0.99705,1.0146
1.006,1.0007,1.0071,1.0095,1.0055,1.0105,0.99639,1.008,0.99367,1.0001,1.0035,1.0061,1.0162,1.0038,1.002,1.0175,1.0112,1.003,1.0022,1.0101,1.003,1.0111,1.0138,1.001
1.0042,1.0185,1.0028,1.0072,1.0086,1.0024,1.0049,1.0066,1.0096,1.0164,1.001,1.0112,1.0003,1.0008,1,1.0037,1.0031,1.004,1.0054,1.0102,1.014,1.0024,0.99953,0.9982
0.99804,1.0128,1.0016,0.99913,0.99053,0.99535,1.0024,0.99412,1.0105,1.0076,0.99847,0.99515,0.99813,0.99645,1.0217,1.0184,0.99764,0.99762,0.99836,1.0064,1.0111,0.99788,1.0046,1.0174
0.9901,0.99557,0.99134,0.99077,0.98299,0.98256,1.0033,0.99578,0.98886,0.99932,0.98821,0.9811,0.99793,0.97938,1.0019,1.0008,0.97832,0.98274,0.9859,0.98775,0.99714,0.9881,0.98311,1.0019
1.0006,0.9928,1.0075,0.9999,0.99888,0.99822,0.99758,0.99877,1.0157,0.98971,1.0006,1.0124,0.98393,1.0019,1.0008,0.99858,1.007,1.0017,0.99726,0.99725,1.0037,0.99471,1.0025,0.99294
0.99228,1.0144,0.99347,0.99255,0.99316,0.98927,0.99776,0.99707,1.0014,0.99814,0.9843,0.98058,0.99669,0.98832,0.9969,0.98572,0.98616,0.98653,1.0171,0.99601,0.99172,0.98819,1.0009,0.9942
1.001,0.98796,0.99961,0.99338,1.0005,0.99227,0.99971,0.9964,0.98369,1.0127,0.99754,0.9995,0.99839,0.99553,0.99199,0.98848,0.99717,0.99303,0.98919,0.9857,0.99568,0.9988,0.99172,0.98589
1.0009,0.99105,1.0052,1.0034,1.002,0.99868,1.0025,1.0013,0.99685,0.99622,0.99655,0.9958,0.99909,1.0023,1.0055,0.99553,0.99912,1.0012,1.001,0.99816,1.0032,0.9996,1.0027,1.001
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0005
0.99701,1.0175,1.0121,1.0182,1.0179,1.0159,1.0064,1.0158,1.0164,1.0089,1.0158,1.0159,1.0117,1.0159,1.0001,1.0159,1.0158,1.0159,1.0159,1.0159,1.0122,1.016,1.0159,0.99323
1.0172,1.013,1.0047,0.9964,0.99667,0.99761,1.0031,0.99795,1.0162,1.0014,0.99649,0.99664,1.0051,0.99412,1.0074,1.0005,0.99625,0.99874,0.99808,1.0053,1.0131,0.99931,1.0057,1.0124
1.002,1.017,1.0141,1.0139,1.0173,1.0159,1.0145,1.0095,1.0188,1.002,1.0202,1.0188,1.0036,1.0069,1.0086,1.014,1.0195,1.0163,1.0143,1.0018,1.0077,1.0118,1.021,1.0031
1.0012,0.98607,0.99261,0.99431,1.0015,1.003,0.99905,0.99435,1.0216,0.97509,1.0088,1.0055,0.99625,0.99912,1.0076,0.9859,1.0081,1.007,1.0333,1.0013,0.98196,1.0019,1.0033,1.0042
